Food,Category,Popularity,Bryan Johnson,David Sinclair,Huberman,Mediterranean Diet,Keto Diet,MIND diet,Paleo Diet,Vegan Diet,Atkins Diet,Gluten-Free Diet,Vegetarian Diet,Flexitarian Diet,Autoimmune Protocol Diet,Longevity,Brain health (MIND),Alzheimer prevention,Muscle building,Overal/Average,Blue Zone Diet,Low Glycemic / Insulin Impact,Contaminant / Toxicity Risk,Comments
Burritos,Other,,5,5,5,5,0,5,0,0,5,0,10,10,0,5,5,5,5,4.0625,5,5,5,Consume in moderation
Butter,Animal Product,,5,5,5,5,10,0,0,0,10,10,0,0,0,5,5,5,5,4.0625,5,5,5,Consume in moderation
Butter (salted),Oil/Fat,,5,5,5,5,10,0,0,0,10,10,0,0,0,5,5,5,5,4.0625,5,5,5,High energy; use small portions (e.g. a handful)
Cabbage,Vegetable,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,5,8.0,5,5,5,High fiber; eat liberally
Cakes,Other,,3,3,3,0,0,0,0,0,0,0,10,10,0,3,3,3,5,2.375,5,5,5,Consume in moderation
Calzones,Other,,4,4,4,4,0,4,0,0,0,0,10,10,0,4,4,4,5,3.25,5,5,5,Consume in moderation
Canola oil,Oil/Fat,,6,6,6,5,10,5,0,0,10,10,10,10,0,6,6,6,5,6.0,5,5,5,High energy; use small portions (e.g. a handful)
Carrot,Vegetable,,9,9,9,10,10,10,10,10,10,10,10,10,10,9,9,9,5,9.625,5,5,5,High fiber; eat liberally
Cashews,Nut/Seed,,8,8,8,10,3,10,10,10,3,10,10,10,0,8,8,8,5,7.75,5,5,5,High energy; use small portions (e.g. a handful)
Cassava,Grain/Starch,,5,5,5,5,0,5,0,10,3,10,10,10,0,5,5,5,5,5.1875,5,5,5,Rich in carbs; limit to one serving
Cauliflower,Vegetable,,8,8,8,10,10,10,10,10,10,10,10,10,10,8,8,8,5,9.25,5,5,5,High fiber; eat liberally
Cereal,Other,,5,5,5,5,0,5,0,0,0,0,10,10,0,5,5,5,5,3.75,5,5,5,Consume in moderation
Cheddar Cheese,Other,,6,6,6,6,0,0,0,0,0,0,10,10,0,6,5,5,5,3.75,5,5,5,Consume in moderation
Cheese,Animal Product,,6,6,6,5,0,0,0,0,0,0,0,0,0,6,5,5,5,2.4375,5,5,5,Consume in moderation
Cherry,Fruit,,8,8,8,10,3,10,5,10,3,10,10,10,5,8,8,8,5,7.75,5,5,5,Rich in vitamins; eat generously
Chia seeds,Nut/Seed,,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,5,9.375,5,5,5,High energy; use small portions (e.g. a handful)
Chicken,Animal Product,,7,8,8,10,10,10,10,0,10,10,0,10,10,7,7,7,5,7.75,5,5,5,Consume in moderation
Chicken Breast,Other,,7,8,8,10,10,10,10,0,10,10,0,10,10,7,7,7,5,7.75,5,5,5,Consume in moderation
Chicken nuggets,Other,,3,3,3,0,0,0,0,0,0,0,10,10,0,3,3,3,5,2.375,5,5,5,Consume in moderation
Chickpeas,Legume/Pulse,,9,9,9,10,0,10,0,10,0,10,10,10,0,9,9,9,5,7.125,5,5,5,Consume in moderation
Chili,Other,,6,6,6,6,0,6,0,0,0,10,10,10,0,6,6,6,5,4.875,5,5,5,Consume in moderation
Chocolate,Other,,6,6,6,5,10,5,0,10,10,10,10,10,0,6,6,6,5,6.625,5,5,5,Consume in moderation
Clam chowder,Other,,5,5,5,5,0,0,0,0,0,0,0,0,0,5,5,5,5,2.1875,5,5,5,Consume in moderation
Club sandwich,Other,,5,5,5,5,0,5,0,0,5,0,10,10,0,5,5,5,5,4.0625,5,5,5,Consume in moderation
Coconut,Fruit,,7,6,6,10,10,10,10,10,10,10,10,10,10,7,7,7,5,8.75,5,5,5,Rich in vitamins; eat generously
Coconut oil,Oil/Fat,,6,5,5,3,10,3,10,10,10,10,10,10,10,6,5,5,5,7.375,5,5,5,High energy; use small portions (e.g. a handful)
Coleslaw,Other,,5,5,5,5,10,5,10,10,10,10,10,10,10,5,5,5,5,7.5,5,5,5,Consume in moderation
Cookies,Other,,3,3,3,0,0,0,0,0,0,0,10,10,0,3,3,3,5,2.375,5,5,5,Consume in moderation
Corn,Grain/Starch,,6,6,6,5,3,5,0,10,5,10,10,10,0,6,6,6,5,5.875,5,5,5,Rich in carbs; limit to one serving
Corn on the cob,Other,,6,6,6,10,0,10,0,10,0,10,10,10,0,6,6,6,5,6.0,5,5,5,Consume in moderation
Croissant,Other,,3,3,3,3,0,3,0,0,0,0,10,10,0,3,3,3,5,2.75,5,5,5,Consume in moderation
Cucumber,Vegetable,,7,8,8,10,10,10,10,10,10,10,10,10,10,8,8,8,5,9.1875,5,5,5,High fiber; eat liberally
Curry,Other,,8,8,8,8,10,8,10,10,10,10,10,10,5,8,8,8,5,8.6875,5,5,5,Consume in moderation
Custard,Other,,4,4,4,0,0,0,0,0,0,0,0,0,0,4,4,4,5,1.5,5,5,5,Consume in moderation
Donuts,Other,,2,2,2,0,0,0,0,0,0,0,10,10,0,2,2,2,5,2.0,5,5,5,Consume in moderation
Dumplings,Other,,5,5,5,0,0,0,0,0,0,0,10,10,0,5,5,5,5,3.125,5,5,5,Consume in moderation
Egg,Animal Product,,8,8,9,3,10,3,10,0,10,10,0,5,0,8,8,8,5,6.25,5,5,5,Consume in moderation
Eggplant,Vegetable,,8,8,8,10,10,10,0,10,10,10,10,10,0,8,8,8,5,8.0,5,5,5,High fiber; eat liberally
Eggs,Other,,8,8,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8.333333333333334,5,5,5,Consume in moderation
Falafel,Other,,8,8,8,10,0,10,0,10,0,10,10,10,0,8,8,8,5,6.75,5,5,5,Consume in moderation
Fava beans,Legume/Pulse,,8,8,8,10,0,10,0,10,0,10,10,10,0,8,8,8,5,6.75,5,5,5,Consume in moderation
Fish,Animal Product,,9,9,9,10,10,10,10,0,10,10,0,10,10,9,9,9,5,8.375,5,5,5,Consume in moderation
Flaxseeds,Nut/Seed,,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,5,9.375,5,5,5,High energy; use small portions (e.g. a handful)
Focaccia,Other,,6,6,6,6,0,6,0,0,0,0,10,10,0,6,6,6,5,4.25,5,5,5,Consume in moderation
French fries,Other,,4,4,4,0,10,0,0,0,0,10,10,10,0,4,4,4,5,4.0,5,5,5,Consume in moderation
Fried chicken,Other,,4,5,5,0,10,0,10,0,10,0,0,10,0,4,5,5,5,4.25,5,5,5,Consume in moderation
Frittata,Other,,7,7,8,7,10,7,10,0,10,10,0,10,10,7,7,8,5,7.375,5,5,5,Consume in moderation
Fruit (assorted),Other,,8,8,8,10,3,10,10,10,3,10,10,10,10,8,8,8,5,8.375,5,5,5,Consume in moderation
Garlic,Vegetable,,9,9,9,10,10,10,10,10,10,10,10,10,0,9,9,9,5,9.0,5,5,5,High fiber; eat liberally
Ghee,Oil/Fat,,7,7,7,10,10,10,10,0,10,10,0,10,0,7,7,7,5,7.0,5,5,5,High energy; use small portions (e.g. a handful)
Gnocchi,Other,,5,5,5,5,0,5,0,0,0,0,10,10,0,5,5,5,5,3.75,5,5,5,Consume in moderation
Grapes,Fruit,,7,7,7,10,3,10,10,10,3,10,10,10,10,7,7,7,5,8.0,5,5,5,Rich in vitamins; eat generously
Greek Yogurt,Other,,9,9,8,10,0,5,0,0,0,0,0,0,0,8,7,7,5,3.9375,5,5,5,Consume in moderation
Green beans,Vegetable,,8,8,8,10,3,10,0,10,3,10,10,10,0,8,8,8,5,7.125,5,5,5,High fiber; eat liberally
Green peas,Legume/Pulse,,8,8,8,10,3,10,0,10,3,10,10,10,0,8,8,8,5,7.125,5,5,5,Consume in moderation
Grilled cheese sandwich,Other,,5,5,5,0,0,0,0,0,0,0,10,10,0,5,5,5,5,3.125,5,5,5,Consume in moderation
Grilled fish,Other,,9,9,9,10,10,10,10,0,10,10,0,10,10,9,9,9,5,8.375,5,5,5,Consume in moderation
Grilled vegetables,Other,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,9.0,5,5,5,Consume in moderation
Guacamole,Other,,8,8,8,10,10,10,10,10,10,10,10,10,10,8,8,8,5,9.25,5,5,5,Consume in moderation
Ham,Other,,4,4,4,5,10,0,10,0,10,10,0,10,0,4,4,4,5,4.9375,5,5,5,Consume in moderation
Hot dogs,Other,,2,2,2,0,10,0,10,0,10,0,0,0,0,2,2,2,5,2.625,5,5,5,Consume in moderation
Hummus,Other,,9,9,9,10,0,10,0,10,0,10,10,10,0,9,9,9,5,7.125,5,5,5,Consume in moderation
Ice cream,Other,,4,4,4,0,0,0,0,0,0,0,0,0,0,4,4,4,5,1.5,5,5,5,Consume in moderation
Kale,Vegetable,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,10.0,5,5,5,High fiber; eat liberally
Kebab,Other,,6,6,6,6,10,6,10,0,10,10,0,10,0,6,6,6,5,6.125,5,5,5,Consume in moderation
Kidney beans,Legume/Pulse,,8,8,8,10,0,10,0,10,0,10,10,10,0,8,8,8,5,6.75,5,5,5,Consume in moderation
Kiwi,Fruit,,9,9,9,10,10,10,10,10,10,10,10,10,10,9,9,9,5,9.625,5,5,5,Rich in vitamins; eat generously
Lamb,Animal Product,,5,5,5,5,10,0,10,0,10,10,0,10,10,5,5,5,5,5.9375,5,5,5,Consume in moderation
Lard,Oil/Fat,,3,3,3,0,10,0,10,0,10,10,0,0,0,3,3,3,5,3.625,5,5,5,High energy; use small portions (e.g. a handful)
Lasagna,Other,,5,5,5,5,0,5,0,0,0,0,10,10,0,5,5,5,5,3.75,5,5,5,Consume in moderation
Lemon,Fruit,,9,9,9,10,10,10,10,10,10,10,10,10,10,9,9,9,5,9.625,5,5,5,Rich in vitamins; eat generously
Lentils,Legume/Pulse,,9,9,9,10,0,10,0,10,0,10,10,10,0,9,9,9,5,7.125,5,5,5,Consume in moderation
Lettuce,Vegetable,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,5,8.0,5,5,5,High fiber; eat liberally
Lime,Fruit,,9,9,9,10,10,10,10,10,10,10,10,10,10,9,9,9,5,9.625,5,5,5,Rich in vitamins; eat generously
Lobster roll,Other,,6,6,6,6,0,0,0,0,0,0,0,0,0,6,6,6,5,2.625,5,5,5,Consume in moderation
Macaroni and cheese,Other,,4,4,4,4,0,4,0,0,0,0,10,10,0,4,4,4,5,3.25,5,5,5,Consume in moderation
Mango,Fruit,,8,8,8,10,3,10,5,10,3,10,10,10,5,8,8,8,5,7.75,5,5,5,Rich in vitamins; eat generously
Mashed potatoes,Other,,5,5,5,5,0,5,0,10,3,10,10,10,0,5,5,5,5,5.1875,5,5,5,Consume in moderation
Meatloaf,Other,,4,4,4,5,10,0,10,0,10,10,0,10,0,4,4,4,5,4.9375,5,5,5,Consume in moderation
Milk,Animal Product,,6,7,6,5,0,5,0,0,0,0,0,0,0,6,6,6,5,2.9375,5,5,5,Consume in moderation
Millet,Grain/Starch,,8,8,8,10,3,10,0,10,5,10,10,10,0,8,8,8,5,7.25,5,5,5,Rich in carbs; limit to one serving
Mixed greens salad,Other,,9,9,9,10,10,10,10,10,10,10,10,10,10,9,9,9,5,9.625,5,5,5,Consume in moderation
Muffins,Other,,3,3,3,0,0,0,0,0,0,0,10,10,0,3,3,3,5,2.375,5,5,5,Consume in moderation
Mung beans,Legume/Pulse,,8,9,9,10,0,10,0,10,0,10,10,10,0,8,9,9,5,7.0,5,5,5,Consume in moderation
Nachos,Other,,4,4,4,0,0,0,0,0,0,10,10,10,0,4,4,4,5,3.375,5,5,5,Consume in moderation
Navy beans,Legume/Pulse,,8,8,8,10,0,10,0,10,0,10,10,10,0,8,8,8,5,6.75,5,5,5,Consume in moderation
Noodles,Other,,5,5,5,5,0,5,0,0,0,0,10,10,0,5,5,5,5,3.75,5,5,5,Consume in moderation
Nuts,Other,,9,9,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9.0,5,5,5,Consume in moderation
Oatmeal,Other,,9,9,9,10,0,10,0,10,5,5,10,10,0,9,9,9,5,7.125,5,5,5,Consume in moderation
Oats,Grain/Starch,,8,8,9,10,0,10,0,10,5,5,10,10,0,8,8,8,5,6.8125,5,5,5,Rich in carbs; limit to one serving
Olive Oil,Other,,9,9,9,10,10,10,10,10,10,10,10,10,10,9,9,9,5,9.625,5,5,5,Consume in moderation
Olive oil,Oil/Fat,,9,9,9,10,10,10,10,10,10,10,10,10,10,9,9,9,5,9.625,5,5,5,High energy; use small portions (e.g. a handful)
Omelette,Other,,8,8,9,8,10,8,10,0,10,10,0,10,10,8,8,9,5,7.875,5,5,5,Consume in moderation
Onion,Vegetable,,8,8,8,10,10,10,10,10,10,10,10,10,0,8,8,8,5,8.625,5,5,5,High fiber; eat liberally
Onions,Other,,8,8,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8.0,5,5,5,Consume in moderation
Orange,Fruit,,8,8,8,10,3,10,10,10,3,10,10,10,10,8,8,8,5,8.375,5,5,5,Rich in vitamins; eat generously
Paella,Other,,7,7,7,7,0,7,0,0,0,10,10,10,0,7,7,7,5,5.375,5,5,5,Consume in moderation
Palm oil,Oil/Fat,,3,3,3,0,10,0,10,0,10,10,10,10,0,3,3,3,5,4.875,5,5,5,High energy; use small portions (e.g. a handful)
Pancakes,Other,,4,4,4,0,0,0,0,0,0,0,10,10,0,4,4,4,5,2.75,5,5,5,Consume in moderation
Papaya,Fruit,,8,8,8,10,3,10,5,10,3,10,10,10,5,8,8,8,5,7.75,5,5,5,Rich in vitamins; eat generously
Pasta,Other,,5,6,6,10,0,10,0,0,5,0,10,10,0,5,6,6,5,4.9375,5,5,5,Consume in moderation
Pasta salad,Other,,5,5,5,5,0,5,0,0,5,0,10,10,0,5,5,5,5,4.0625,5,5,5,Consume in moderation
Peach,Fruit,,8,8,8,10,3,10,10,10,3,10,10,10,10,8,8,8,5,8.375,5,5,5,Rich in vitamins; eat generously
Peanuts,Nut/Seed,,8,7,7,0,0,0,0,10,0,10,0,0,0,7,7,7,5,3.9375,5,5,5,High energy; use small portions (e.g. a handful)
Pear,Fruit,,8,8,8,10,3,10,10,10,3,10,10,10,10,8,8,8,5,8.375,5,5,5,Rich in vitamins; eat generously
Peas,Vegetable,,8,8,8,10,3,10,0,10,3,10,10,10,0,8,8,8,5,7.125,5,5,5,High fiber; eat liberally
Pie (dessert),Other,,4,4,4,0,0,0,0,0,0,0,10,10,0,4,4,4,5,2.75,5,5,5,Consume in moderation
Pineapple,Fruit,,7,7,7,10,3,10,5,10,3,10,10,10,5,7,7,7,5,7.375,5,5,5,Rich in vitamins; eat generously
Pinto beans,Legume/Pulse,,8,8,8,10,0,10,0,10,0,10,10,10,0,8,8,8,5,6.75,5,5,5,Consume in moderation
Pistachios,Nut/Seed,,9,9,9,10,3,10,10,10,3,10,10,10,0,9,9,9,5,8.125,5,5,5,High energy; use small portions (e.g. a handful)
Pita bread,Other,,6,6,6,6,0,6,0,0,5,0,10,10,0,6,6,6,5,4.5625,5,5,5,Consume in moderation
Pizza,Other,,4,4,4,5,0,5,0,0,0,0,10,10,0,4,4,4,5,3.375,5,5,5,Consume in moderation
Plantains,Grain/Starch,,7,7,7,10,3,10,10,10,3,10,10,10,0,7,7,7,5,7.375,5,5,5,Rich in carbs; limit to one serving
Plum,Fruit,,8,8,8,10,3,10,10,10,3,10,10,10,10,8,8,8,5,8.375,5,5,5,Rich in vitamins; eat generously
Polenta,Other,,6,6,6,6,3,6,0,10,5,10,10,10,0,6,6,6,5,6.0,5,5,5,Consume in moderation
Pomegranate,Fruit,,9,9,9,10,3,10,5,10,3,10,10,10,5,9,9,9,5,8.125,5,5,5,Rich in vitamins; eat generously
Pork,Animal Product,,4,4,4,5,10,0,10,0,10,10,0,10,10,4,4,4,5,5.5625,5,5,5,Consume in moderation
Potato salad,Other,,5,5,5,0,0,0,0,10,0,10,10,10,0,5,5,5,5,4.375,5,5,5,Consume in moderation
Potatoes,Other,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5,5,5,Consume in moderation
Pumpkin,Vegetable,,9,9,9,10,10,10,10,10,10,10,10,10,5,9,9,9,5,9.3125,5,5,5,High fiber; eat liberally
Pumpkin seeds,Nut/Seed,,9,9,9,10,10,10,10,10,10,10,10,10,0,9,9,9,5,9.0,5,5,5,High energy; use small portions (e.g. a handful)
Quesadillas,Other,,5,5,5,0,0,0,0,0,0,0,10,10,0,5,5,5,5,3.125,5,5,5,Consume in moderation
Quiche,Other,,6,6,6,6,0,6,0,0,0,0,10,10,0,6,6,6,5,4.25,5,5,5,Consume in moderation
Quinoa,Grain/Starch,,9,9,9,10,3,10,0,10,5,10,10,10,0,9,9,9,5,7.625,5,5,5,Rich in carbs; limit to one serving
Radish,Vegetable,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7.0,5,5,5,High fiber; eat liberally
Rice,Grain/Starch,,7,8,8,10,0,10,0,0,5,10,10,10,0,7,7,7,5,6.1875,5,5,5,Rich in carbs; limit to one serving
Rice pudding,Other,,4,4,4,0,0,0,0,0,0,10,0,0,0,4,4,4,5,2.125,5,5,5,Consume in moderation
Risotto,Other,,6,6,6,6,0,6,0,0,5,10,10,10,0,6,6,6,5,5.1875,5,5,5,Consume in moderation
Roast beef,Other,,5,4,5,5,10,0,10,0,10,10,0,10,0,5,4,5,5,5.1875,5,5,5,Consume in moderation
Roasted vegetables,Other,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,10.0,5,5,5,Consume in moderation
Rye,Grain/Starch,,8,8,8,10,0,10,0,0,5,0,10,10,0,7,7,7,5,5.625,5,5,5,Rich in carbs; limit to one serving
Salmon,Other,,9,9,9,10,10,10,10,0,10,10,0,10,10,9,9,9,5,8.375,5,5,5,Consume in moderation
Sandwiches,Other,,5,5,5,5,0,5,0,0,5,0,10,10,0,5,5,5,5,4.0625,5,5,5,Consume in moderation
Sashimi,Other,,9,9,9,10,10,10,10,0,10,10,0,10,0,9,9,9,5,7.75,5,5,5,Consume in moderation
Sausages,Other,,4,4,4,5,10,0,10,0,10,10,0,10,0,4,4,4,5,4.9375,5,5,5,Consume in moderation
Savory pie (meat pie),Other,,4,4,4,4,0,4,0,0,0,0,10,10,0,4,4,4,5,3.25,5,5,5,Consume in moderation
Seeds,Other,,9,9,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9.0,5,5,5,Consume in moderation
Semolina,Grain/Starch,,5,5,5,10,0,10,0,0,5,0,10,10,0,5,5,5,5,4.6875,5,5,5,Rich in carbs; limit to one serving
Sesame oil,Oil/Fat,,7,6,6,10,10,10,0,10,10,10,10,10,0,7,6,6,5,7.375,5,5,5,High energy; use small portions (e.g. a handful)
Sesame seeds,Nut/Seed,,8,8,8,10,10,10,10,10,10,10,10,10,0,8,8,8,5,8.625,5,5,5,High energy; use small portions (e.g. a handful)
Shrimp cocktail,Other,,6,6,6,6,10,6,10,0,10,10,0,10,0,6,6,6,5,6.125,5,5,5,Consume in moderation
Sorghum,Grain/Starch,,7,7,7,10,3,10,0,10,5,10,10,10,0,7,7,7,5,6.875,5,5,5,Rich in carbs; limit to one serving
Soup,Other,,8,8,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8.0,5,5,5,Consume in moderation
Soybeans,Legume/Pulse,,8,9,9,10,0,10,0,10,0,10,10,10,0,8,9,9,5,7.0,5,5,5,Consume in moderation
Spaghetti Bolognese,Other,,5,5,5,5,0,5,0,0,0,0,10,10,0,5,5,5,5,3.75,5,5,5,Consume in moderation
Spelt,Grain/Starch,,8,8,8,10,0,10,0,0,5,0,10,10,0,8,8,8,5,5.8125,5,5,5,Rich in carbs; limit to one serving
Spinach,Vegetable,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,10.0,5,5,5,High fiber; eat liberally
Spring rolls,Other,,6,6,6,6,0,6,0,10,0,10,10,10,0,6,6,6,5,5.5,5,5,5,Consume in moderation
Steamed mussels,Other,,7,7,7,7,10,7,10,0,10,10,0,10,0,7,7,7,5,6.625,5,5,5,Consume in moderation
Stew,Other,,6,6,6,6,10,6,10,0,10,10,0,10,0,6,6,6,5,6.125,5,5,5,Consume in moderation
Stir-fry,Other,,8,8,9,8,10,8,10,10,10,10,10,10,10,8,8,9,5,9.125,5,5,5,Consume in moderation
Strawberry,Fruit,,9,9,9,10,10,10,10,10,10,10,10,10,10,9,9,9,5,9.625,5,5,5,Rich in vitamins; eat generously
Sunflower oil,Oil/Fat,,5,5,5,3,10,3,0,0,10,10,10,10,0,5,5,5,5,5.375,5,5,5,High energy; use small portions (e.g. a handful)
Sunflower seeds,Nut/Seed,,8,8,8,10,10,10,10,10,10,10,10,10,0,8,8,8,5,8.625,5,5,5,High energy; use small portions (e.g. a handful)
Sushi,Other,,8,8,8,10,0,10,0,0,5,10,0,10,0,8,8,8,5,5.8125,5,5,5,Consume in moderation
Sweet Potato,Other,,8,8,8,10,3,10,10,10,5,10,10,10,0,8,8,8,5,7.875,5,5,5,Consume in moderation
Sweet potatoes,Grain/Starch,,8,8,8,10,3,10,10,10,5,10,10,10,0,8,8,8,5,7.875,5,5,5,Rich in carbs; limit to one serving
Tacos,Other,,5,5,5,5,0,5,0,0,5,0,10,10,0,5,5,5,5,4.0625,5,5,5,Consume in moderation
Tapioca,Grain/Starch,,5,5,5,10,3,10,0,10,5,10,10,10,0,5,5,5,5,6.125,5,5,5,Rich in carbs; limit to one serving
Taro,Grain/Starch,,6,7,7,5,0,5,0,10,3,10,10,10,0,6,6,6,5,5.6875,5,5,5,Rich in carbs; limit to one serving
Tempura,Other,,4,4,4,0,0,0,0,0,0,0,10,10,0,4,4,4,5,2.75,5,5,5,Consume in moderation
Tofu,Other,,8,9,8,0,0,5,0,10,0,10,10,10,0,8,9,9,5,6.0,5,5,5,Consume in moderation
Tomato,Vegetable,,9,9,9,10,10,10,0,10,10,10,10,10,0,9,9,9,5,8.375,5,5,5,High fiber; eat liberally
Tomatoes,Other,,9,9,9,10,10,10,0,10,10,10,10,10,0,9,9,9,5,8.375,5,5,5,Consume in moderation
Vegetables (assorted),Other,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,10.0,5,5,5,Consume in moderation
Waffles,Other,,4,4,4,0,0,0,0,0,0,0,10,10,0,4,4,4,5,2.75,5,5,5,Consume in moderation
Walnuts,Nut/Seed,,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,5,9.375,5,5,5,High energy; use small portions (e.g. a handful)
Watermelon,Fruit,,7,7,7,10,3,10,10,10,3,10,10,10,10,7,7,7,5,8.0,5,5,5,Rich in vitamins; eat generously
Wheat,Grain/Starch,,6,7,7,10,0,10,0,0,5,0,10,10,0,6,6,6,5,5.1875,5,5,5,Rich in carbs; limit to one serving
White potatoes,Grain/Starch,,5,5,5,5,0,5,0,10,3,10,10,10,0,5,5,5,5,5.1875,5,5,5,Rich in carbs; limit to one serving
Whole Wheat Bread,Other,,7,7,7,7,0,7,0,0,5,0,10,10,0,7,7,7,5,5.0625,5,5,5,Consume in moderation
Wraps,Other,,6,6,6,5,0,5,0,0,5,0,10,10,0,6,6,6,5,4.4375,5,5,5,Consume in moderation
Yam,Grain/Starch,,8,8,8,10,3,10,10,10,5,10,10,10,0,8,8,8,5,7.875,5,5,5,Rich in carbs; limit to one serving
Yogurt,Animal Product,,8,8,8,10,0,5,0,0,0,0,0,0,0,8,7,7,5,3.8125,5,5,5,Consume in moderation
Zucchini,Vegetable,,8,8,8,10,10,10,10,10,10,10,10,10,10,8,8,8,5,9.25,5,5,5,High fiber; eat liberally
,Other,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,Consume in moderation
